ID,Title,Price,Currency,Available Quantity,Sold Quantity,Permalink,Brand ID,Brand Value,Units per Pack ID,Units per Pack Value,GTIN ID,GTIN Value,Seller ID,Seller Nickname,Installments Quantity,Installments Amount,Installments Rate,Installments Currency ID
MLB3736088537,Kit 2 Refil Filtro Planeta Água Pró Life Compativel Soft Everest,59.22,BRL,500,,https://www.mercadolivre.com.br/kit-2-refil-filtro-planeta-agua-pro-life-compativel-soft-everest/p/MLB27374503,BRAND,Planeta Água,UNITS_PER_PACK,2,GTIN,7898614781995,609475751,PLANETA_DAGUA,12,5.76,16.64,BRL
MLB2129938034,Elemento Filtrante Soft By Everest,107.1,BRL,200,,https://produto.mercadolivre.com.br/MLB-2129938034-elemento-filtrante-soft-by-everest-_JM,BRAND,Soft by Everest,UNITS_PER_PACK,1,,,297126030,MULTI FILTROSSC,3,35.7,0,BRL
MLB3537474505,Refil Filtro Vela Compatível Electrolux Linha Pe Pe10x Pe10b Cor Branco,37.67,BRL,500,,https://www.mercadolivre.com.br/refil-filtro-vela-compativel-electrolux-linha-pe-pe10x-pe10b-cor-branco/p/MLB28743226,BRAND,Royal B & B,,,GTIN,"7902540996290,7891077251340",1562763402,ROYALCOMMERCE,12,3.65,16.34,BRL
MLB4037003920,Refil Filtro Vela Compatível Purificador Soft Star Everest,34.78,BRL,100,,https://produto.mercadolivre.com.br/MLB-4037003920-refil-filtro-vela-compativel-purificador-soft-star-everest-_JM,BRAND,Planeta Água,UNITS_PER_PACK,1,,,20671860,GELMAQ PARTS,12,3.37,16.34,BRL
MLB3598158451,Kit 2 Filtro Refil Compatível Soft Everest 2em1 Purificador,56.9,BRL,500,,https://www.mercadolivre.com.br/kit-2-filtro-refil-compativel-soft-everest-2em1-purificador/p/MLB28000765,BRAND,Policarbon,UNITS_PER_PACK,2,GTIN,7010639780917,471334924,TENDTUDOPRINCESINHA,12,5.53,16.64,BRL
MLB3736077967,Kit 3 Refil Filtro Pró Life Purificador De Água Soft Everest,106.94,BRL,250,,https://www.mercadolivre.com.br/kit-3-refil-filtro-pro-life-purificador-de-agua-soft-everest/p/MLB27197274,BRAND,Planeta Água,UNITS_PER_PACK,3,GTIN,7898614781995,609475751,PLANETA_DAGUA,12,10.39,16.64,BRL
MLB4049622438,Kit 4 Vela Filtro Purifika Compativel Com Soft Everest 2x1,126.99,BRL,50,,https://produto.mercadolivre.com.br/MLB-4049622438-kit-4-vela-filtro-purifika-compativel-com-soft-everest-2x1-_JM,BRAND,Policarbon,UNITS_PER_PACK,4,,,45096508,PANCADÃO ELETRÔNICOS,12,12.34,16.64,BRL
MLB2113281082,Refil Soft Everest Com Kit 2 Un. Orignal,184.15,BRL,1,,https://produto.mercadolivre.com.br/MLB-2113281082-refil-soft-everest-com-kit-2-un-orignal-_JM,BRAND,Soft by Everest,UNITS_PER_PACK,2,,,297126030,MULTI FILTROSSC,6,30.69,0,BRL
MLB852451499,Refil Filtro Vela Purificador Soft Everest Original,116.79,BRL,1,,https://produto.mercadolivre.com.br/MLB-852451499-refil-filtro-vela-purificador-soft-everest-original-_JM,BRAND,Everest,UNITS_PER_PACK,1,GTIN,,38335512,URUFRIO,12,11.35,16.64,BRL
MLB3154377384,Filtro Refil Compatível  Soft Everest Star/ Baby/ Fit/ Slim,30.49,BRL,1,,https://produto.mercadolivre.com.br/MLB-3154377384-filtro-refil-compativel-soft-everest-star-baby-fit-slim-_JM,BRAND,Policarbon,UNITS_PER_PACK,1,,,345517938,MI5146449,12,2.96,16.34,BRL
MLB3598132539,Kit 5 Refil Filtro Compatível Purificador Água Soft Everest,158,BRL,500,,https://www.mercadolivre.com.br/kit-5-refil-filtro-compativel-purificador-agua-soft-everest/p/MLB29613140,BRAND,Policarbon,UNITS_PER_PACK,5,GTIN,7010639780917,1289460166,MIRTS ATACADO,12,15.36,16.64,BRL
